gene_name,Gene,Weight,Abs Weight
AC084064.1,AC084064.1,0.01839582828028853,0.01839582828028853
FERMT2,FERMT2,0.018394920299781303,0.018394920299781303
CCDC69,CCDC69,0.01839204030365824,0.01839204030365824
CD36,CD36,0.01839045744168651,0.01839045744168651
LINC00506,LINC00506,0.018384900357433925,0.018384900357433925
HSPB7,HSPB7,0.018384552076445907,0.018384552076445907
PAPPA2,PAPPA2,0.018377559600262786,0.018377559600262786
TFPI,TFPI,0.01836317987928797,0.01836317987928797
AC009242.1,AC009242.1,0.018361085238025092,0.018361085238025092
LRRN3,LRRN3,0.018359967880788048,0.018359967880788048
FHL5,FHL5,0.01835342566664357,0.01835342566664357
ADRB2,ADRB2,0.01835261942668057,0.01835261942668057
GGTA1,GGTA1,0.018347832715862916,0.018347832715862916
RERGL,RERGL,0.01834579354152516,0.01834579354152516
SLC9A9,SLC9A9,0.018344046582232418,0.018344046582232418
AC015656.1,AC015656.1,0.01833988948449716,0.01833988948449716
CXCL2,CXCL2,0.018334788560376042,0.018334788560376042
ADGRF5,ADGRF5,0.018324027110335775,0.018324027110335775
KCNAB1,KCNAB1,0.01831999965072864,0.01831999965072864
AC063919.1,AC063919.1,0.01831652664165585,0.01831652664165585
GSN,GSN,0.01831194530745232,0.01831194530745232
GOLGA8M,GOLGA8M,0.018306551603069758,0.018306551603069758
TSPAN7,TSPAN7,0.018295556618413925,0.018295556618413925
EBF2,EBF2,0.018290655933538184,0.018290655933538184
AC002480.2,AC002480.2,0.018287216163108848,0.018287216163108848
MYLK,MYLK,0.01827976187584805,0.01827976187584805
AC003986.2,AC003986.2,0.018276974404135442,0.018276974404135442
FLI1,FLI1,0.018269672704304286,0.018269672704304286
ALDH1A1,ALDH1A1,0.018268368176138396,0.018268368176138396
LEP,LEP,0.018264874202613884,0.018264874202613884
PLXNA4,PLXNA4,0.018263698330837314,0.018263698330837314
PCDH9,PCDH9,0.01825778748741323,0.01825778748741323
RBMS2,RBMS2,0.018255390589383434,0.018255390589383434
ST6GALNAC3,ST6GALNAC3,0.018253404491306777,0.018253404491306777
PTPN14,PTPN14,0.01823963724974238,0.01823963724974238
FGF13-AS1,FGF13-AS1,0.018234309577664885,0.018234309577664885
LINC00906,LINC00906,0.018232697229060166,0.018232697229060166
PLEKHM3,PLEKHM3,0.01822908850356612,0.01822908850356612
CCDC82,CCDC82,0.018223131909549332,0.018223131909549332
AC073850.1,AC073850.1,0.0182222614443442,0.0182222614443442
HOXA2,HOXA2,0.018220541863031778,0.018220541863031778
HOXA6,HOXA6,0.018217720741327822,0.018217720741327822
GLP2R,GLP2R,0.018211818341852502,0.018211818341852502
INMT,INMT,0.018209639738302183,0.018209639738302183
PTGER4,PTGER4,0.018204970860641472,0.018204970860641472
MME-AS1,MME-AS1,0.018204947410047925,0.018204947410047925
TEK,TEK,0.018203956086629846,0.018203956086629846
AC025470.2,AC025470.2,0.018200668377075666,0.018200668377075666
CCDC50,CCDC50,0.018200428726966193,0.018200428726966193
CHL1-AS2,CHL1-AS2,0.01819822425920255,0.01819822425920255
KCNJ16,KCNJ16,0.018195761247009418,0.018195761247009418
LAMA2,LAMA2,0.01818830416893135,0.01818830416893135
CNTNAP3,CNTNAP3,0.018184036461898843,0.018184036461898843
AL391807.1,AL391807.1,0.01818079843698705,0.01818079843698705
CLDN11,CLDN11,0.018179539214904093,0.018179539214904093
SLIT3,SLIT3,0.018171029600927143,0.018171029600927143
CCDC3,CCDC3,0.018170215929343522,0.018170215929343522
TRPM6,TRPM6,0.01816541798012369,0.01816541798012369
ABCB1,ABCB1,0.018159487960738335,0.018159487960738335
NECTIN3,NECTIN3,0.018159180740004277,0.018159180740004277
LRCH2,LRCH2,0.018156011060667988,0.018156011060667988
MYCT1,MYCT1,0.01814861733397899,0.01814861733397899
ZNF300P1,ZNF300P1,0.018144046298428328,0.018144046298428328
TBX15,TBX15,0.018135293334663724,0.018135293334663724
TK1,TK1,-0.01813501788038281,0.01813501788038281
KCNT2,KCNT2,0.018131175860461705,0.018131175860461705
ADGRL3,ADGRL3,0.018127385372100683,0.018127385372100683
MRGPRF-AS1,MRGPRF-AS1,0.01812561064146057,0.01812561064146057
AQP7P2,AQP7P2,0.01812548724251464,0.01812548724251464
LMOD1,LMOD1,0.018123612501364728,0.018123612501364728
ABCC9,ABCC9,0.018120107677401288,0.018120107677401288
HOXA5,HOXA5,0.01811597372757643,0.01811597372757643
EPB42,EPB42,0.01810287681361852,0.01810287681361852
MAGOH2P,MAGOH2P,0.01810054479068064,0.01810054479068064
YPEL4,YPEL4,0.01809479921715708,0.01809479921715708
UTRN,UTRN,0.018089802643926744,0.018089802643926744
CLMP,CLMP,0.018072630813227495,0.018072630813227495
AMOTL1,AMOTL1,0.018069535042378064,0.018069535042378064
DNM1P47,DNM1P47,0.01806355165979817,0.01806355165979817
TMEFF2,TMEFF2,0.018061314665413383,0.018061314665413383
SPTBN1,SPTBN1,0.018050778897835837,0.018050778897835837
MYOCD,MYOCD,0.018049219350022908,0.018049219350022908
PCDHB15,PCDHB15,0.01803845240255715,0.01803845240255715
C1QTNF9,C1QTNF9,0.018036005514237653,0.018036005514237653
DNASE1L3,DNASE1L3,0.01803210481499572,0.01803210481499572
TTC28,TTC28,0.018031339370877385,0.018031339370877385
AL121821.2,AL121821.2,0.01802937628099592,0.01802937628099592
FXYD2,FXYD2,0.01802927049827764,0.01802927049827764
HLF,HLF,0.018016035730563845,0.018016035730563845
